variable,label,support_A,support_B,precision,recall,f1,precision_B_vs_A,recall_B_vs_A,alpha
evaluation_pairs,行业|条件性认可,1,1,,,1.0,1.0,1.0,1.0
evaluation_pairs,行业|认可,0,1,,,0.0,0.0,1.0,-0.004184100418400893
evaluation_pairs,课程|否定,1,1,,,1.0,1.0,1.0,1.0
evaluation_pairs,课程|条件性认可,2,2,,,1.0,1.0,1.0,1.0
evidence_basis,AI与平台可替代性,1,1,,,1.0,1.0,1.0,1.0
evidence_basis,专业知识与理论,12,12,,,1.0,1.0,1.0,1.0
evidence_basis,个人学习经历,15,15,,,1.0,1.0,1.0,1.0
evidence_basis,公共价值,5,5,,,1.0,1.0,1.0,1.0
evidence_basis,反讽或梗,11,10,,,0.9523809523809523,1.0,0.9090909090909091,0.9478147423352903
evidence_basis,实习就业经历,14,14,,,1.0,1.0,1.0,1.0
evidence_basis,招聘收入与市场结果,17,17,,,1.0,1.0,1.0,1.0
evidence_basis,无依据断言,8,6,,,0.8571428571428571,1.0,0.75,0.8482932996207333
evidence_basis,身份情感,12,13,,,0.9600000000000001,0.9230769230769231,1.0,0.9553488372093023
evidence_basis,身边他人经历,2,2,,,1.0,1.0,1.0,1.0
reply_strategy,个人经验回应,13,13,,,1.0,1.0,1.0,1.0
reply_strategy,公共价值回应,2,2,,,1.0,1.0,1.0,1.0
reply_strategy,具体能力解释,5,5,,,1.0,1.0,1.0,1.0
reply_strategy,反讽与情绪,24,23,,,0.9787234042553191,1.0,0.9583333333333334,0.9735420571050601
reply_strategy,同层直接回应,24,24,,,1.0,1.0,1.0,1.0
reply_strategy,市场结果回应,6,6,,,1.0,1.0,1.0,1.0
reply_strategy,话题转移,7,7,,,1.0,1.0,1.0,1.0
reply_strategy,身份否定,1,1,,,1.0,1.0,1.0,1.0
ability_type,事实核查与证据,3,3,,,1.0,1.0,1.0,1.0
ability_type,伦理责任与公共判断,3,3,,,1.0,1.0,1.0,1.0
ability_type,基础内容生产,5,5,,,1.0,1.0,1.0,1.0
ability_type,平台运营与商业传播,10,10,,,1.0,1.0,1.0,1.0
ability_type,社会解释与议题发现,1,1,,,1.0,1.0,1.0,1.0
ability_type,采访与信源关系,4,4,,,1.0,1.0,1.0,1.0
ability_property_explicit,可跨职业迁移,4,4,,,1.0,1.0,1.0,1.0
ability_property_explicit,大学教育通用,2,2,,,1.0,1.0,1.0,1.0
ability_property_explicit,新闻专业独特,2,2,,,1.0,1.0,1.0,1.0
ability_pairs,事实核查与证据|新闻专业独特,1,1,,,1.0,1.0,1.0,1.0
ability_pairs,事实核查与证据|未明确,2,2,,,1.0,1.0,1.0,1.0
ability_pairs,伦理责任与公共判断|新闻专业独特,2,2,,,1.0,1.0,1.0,1.0
ability_pairs,伦理责任与公共判断|未明确,1,1,,,1.0,1.0,1.0,1.0
ability_pairs,基础内容生产|大学教育通用,1,1,,,1.0,1.0,1.0,1.0
ability_pairs,基础内容生产|未明确,4,4,,,1.0,1.0,1.0,1.0
ability_pairs,平台运营与商业传播|可跨职业迁移,4,4,,,1.0,1.0,1.0,1.0
ability_pairs,平台运营与商业传播|大学教育通用,1,1,,,1.0,1.0,1.0,1.0
ability_pairs,平台运营与商业传播|未明确,5,5,,,1.0,1.0,1.0,1.0
ability_pairs,社会解释与议题发现|未明确,1,1,,,1.0,1.0,1.0,1.0
ability_pairs,采访与信源关系|大学教育通用,1,1,,,1.0,1.0,1.0,1.0
ability_pairs,采访与信源关系|未明确,3,3,,,1.0,1.0,1.0,1.0
