cluster,formula,model_family,model_id,n,ok,outcome,rq,scope,status,subset
,s0 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_s0,1010,1.0,同层直接回应,RQ2,adjudicated,historical_cluster_glm,
,s1 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_s1,1010,1.0,具体能力解释,RQ2,adjudicated,historical_cluster_glm,
,s2 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_s2,1010,1.0,个人经验回应,RQ2,adjudicated,historical_cluster_glm,
,s3 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_s3,1010,1.0,市场结果回应,RQ2,adjudicated,historical_cluster_glm,
,s4 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_s4,1010,1.0,公共价值回应,RQ2,adjudicated,historical_cluster_glm,
,s5 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_s5,1010,1.0,身份否定,RQ2,adjudicated,historical_cluster_glm,
,s6 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_s6,1010,1.0,反讽与情绪,RQ2,adjudicated,historical_cluster_glm,
,translation_any ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_translation,1010,1.0,translation_any,RQ2,adjudicated,historical_cluster_glm,
,s0 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_plus_high_s0,2253,1.0,同层直接回应,RQ2,adjudicated_plus_high,historical_cluster_glm,
,s1 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_plus_high_s1,2253,1.0,具体能力解释,RQ2,adjudicated_plus_high,historical_cluster_glm,
,s2 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_plus_high_s2,2253,1.0,个人经验回应,RQ2,adjudicated_plus_high,historical_cluster_glm,
,s3 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_plus_high_s3,2253,1.0,市场结果回应,RQ2,adjudicated_plus_high,historical_cluster_glm,
,s4 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_plus_high_s4,2253,1.0,公共价值回应,RQ2,adjudicated_plus_high,historical_cluster_glm,
,s5 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_plus_high_s5,2253,1.0,身份否定,RQ2,adjudicated_plus_high,historical_cluster_glm,
,s6 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_plus_high_s6,2253,1.0,反讽与情绪,RQ2,adjudicated_plus_high,historical_cluster_glm,
,s7 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_plus_high_s7,2253,1.0,话题转移,RQ2,adjudicated_plus_high,historical_cluster_glm,
,translation_any ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_adjudicated_plus_high_translation,2253,1.0,translation_any,RQ2,adjudicated_plus_high,historical_cluster_glm,
,s0 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_s0,5411,1.0,同层直接回应,RQ2,full_hybrid,historical_cluster_glm,
,s1 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_s1,5411,1.0,具体能力解释,RQ2,full_hybrid,historical_cluster_glm,
,s2 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_s2,5411,1.0,个人经验回应,RQ2,full_hybrid,historical_cluster_glm,
,s3 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_s3,5411,1.0,市场结果回应,RQ2,full_hybrid,historical_cluster_glm,
,s4 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_s4,5411,1.0,公共价值回应,RQ2,full_hybrid,historical_cluster_glm,
,s5 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_s5,5411,1.0,身份否定,RQ2,full_hybrid,historical_cluster_glm,
,s6 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_s6,5411,1.0,反讽与情绪,RQ2,full_hybrid,historical_cluster_glm,
,s7 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_s7,5411,1.0,话题转移,RQ2,full_hybrid,historical_cluster_glm,
,s8 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_s8,5411,1.0,其他,RQ2,full_hybrid,historical_cluster_glm,
,translation_any ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_glm_cluster_robust,rq2_full_hybrid_translation,5411,1.0,translation_any,RQ2,full_hybrid,historical_cluster_glm,
,y ~ C(ability_type) + ai_context + C(source_type) + is_reply,binomial_glm_cluster_robust,rq3_可跨职业迁移,1959,1.0,可跨职业迁移,RQ3,,historical_cluster_glm,
,y ~ C(ability_type) + ai_context + C(source_type) + is_reply,binomial_glm_cluster_robust,rq3_大学教育通用,1959,1.0,大学教育通用,RQ3,,historical_cluster_glm,
,y ~ C(ability_type) + ai_context + C(source_type) + is_reply,binomial_glm_cluster_robust,rq3_可由AI替代,1959,1.0,可由AI替代,RQ3,,historical_cluster_glm,
,y ~ C(ability_type) + ai_context + C(source_type) + is_reply,binomial_glm_cluster_robust,rq3_新闻专业独特,1959,1.0,新闻专业独特,RQ3,,historical_cluster_glm,
note_id,judgment_clear ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_reply + is_note_author + log_text_length,binomial_gee_exchangeable,rq1_judgment_clear,21779,,judgment_clear,RQ1,,formal_manuscript_model,
note_id,negative ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_reply + is_note_author + log_text_length,binomial_gee_exchangeable,rq1_negative,16533,,negative,RQ1,,formal_manuscript_model,
note_id,positive ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_reply + is_note_author + log_text_length,binomial_gee_exchangeable,rq1_positive,16533,,positive,RQ1,,formal_manuscript_model,
note_id,any_like ~ e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9 + o0 + o1 + o2 + o3 + o4 + o5 + o6 + C(source_type) + is_reply + is_note_author + is_reply:is_note_author + log_text_length,binomial_gee_exchangeable,rq4_any_like,21779,,any_like,RQ4,,formal_manuscript_model,
note_id,s0 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_strategy_0,1010,,同层直接回应,RQ2,adjudicated,formal_manuscript_model,
note_id,s1 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_strategy_1,1010,,具体能力解释,RQ2,adjudicated,formal_manuscript_model,
note_id,s2 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_strategy_2,1010,,个人经验回应,RQ2,adjudicated,formal_manuscript_model,
note_id,s3 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_strategy_3,1010,,市场结果回应,RQ2,adjudicated,formal_manuscript_model,
note_id,s4 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_strategy_4,1010,,公共价值回应,RQ2,adjudicated,formal_manuscript_model,
note_id,s5 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_strategy_5,1010,,身份否定,RQ2,adjudicated,formal_manuscript_model,
note_id,s6 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_strategy_6,1010,,反讽与情绪,RQ2,adjudicated,formal_manuscript_model,
note_id,translation_any ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_translation,1010,,translation_any,RQ2,adjudicated,formal_manuscript_model,
note_id,s0 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_plus_high_strategy_0,1010,,同层直接回应,RQ2,adjudicated_plus_high,formal_manuscript_model,
note_id,s1 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_plus_high_strategy_1,1010,,具体能力解释,RQ2,adjudicated_plus_high,formal_manuscript_model,
note_id,s2 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_plus_high_strategy_2,1010,,个人经验回应,RQ2,adjudicated_plus_high,formal_manuscript_model,
note_id,s3 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_plus_high_strategy_3,1010,,市场结果回应,RQ2,adjudicated_plus_high,formal_manuscript_model,
note_id,s4 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_plus_high_strategy_4,1010,,公共价值回应,RQ2,adjudicated_plus_high,formal_manuscript_model,
note_id,s5 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_plus_high_strategy_5,1010,,身份否定,RQ2,adjudicated_plus_high,formal_manuscript_model,
note_id,s6 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_plus_high_strategy_6,1010,,反讽与情绪,RQ2,adjudicated_plus_high,formal_manuscript_model,
note_id,translation_any ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_adjudicated_plus_high_translation,1010,,translation_any,RQ2,adjudicated_plus_high,formal_manuscript_model,
note_id,s0 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_strategy_0,5411,,同层直接回应,RQ2,full_hybrid,formal_manuscript_model,
note_id,s1 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_strategy_1,5411,,具体能力解释,RQ2,full_hybrid,formal_manuscript_model,
note_id,s2 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_strategy_2,5411,,个人经验回应,RQ2,full_hybrid,formal_manuscript_model,
note_id,s3 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_strategy_3,5411,,市场结果回应,RQ2,full_hybrid,formal_manuscript_model,
note_id,s4 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_strategy_4,5411,,公共价值回应,RQ2,full_hybrid,formal_manuscript_model,
note_id,s5 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_strategy_5,5411,,身份否定,RQ2,full_hybrid,formal_manuscript_model,
note_id,s6 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_strategy_6,5411,,反讽与情绪,RQ2,full_hybrid,formal_manuscript_model,
note_id,s7 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_strategy_7,5411,,话题转移,RQ2,full_hybrid,formal_manuscript_model,
note_id,s8 ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_strategy_8,5411,,其他,RQ2,full_hybrid,formal_manuscript_model,
note_id,translation_any ~ is_author + source_negative + is_author:source_negative + C(reply_source_type) + log_reply_length + e0 + e1 + e2 + e3 + e4 + e5 + e6 + e7 + e8 + e9,binomial_gee_exchangeable,rq2_full_hybrid_translation,5411,,translation_any,RQ2,full_hybrid,formal_manuscript_model,
note_id,y ~ C(ability_type) + ai_context + C(source_type) + is_reply,binomial_gee_exchangeable,rq3_大学教育通用,1959,,大学教育通用,RQ3,,formal_manuscript_model,
note_id,y ~ C(ability_type) + ai_context + C(source_type) + is_reply,binomial_gee_exchangeable,rq3_可跨职业迁移,1959,,可跨职业迁移,RQ3,,formal_manuscript_model,
